,,,,,,,,,,
구분,요구ID,기능ID,페이지,주기능,상세기능,설명,중요도,작업소요,비고,체크사항
00. 초기,MAIN_00,MAIN_00_INIT_000,,1. 스플래쉬,초기 화면,서비스를 시작하면 가장 먼저 보는 초기 화면,필수,하,,
,MAIN_00,MAIN_00_INIT_001,,2. 권한 인증,카메라 권한 인증,모바일 디바이스에서 카메라 사용 권한 받기,필수,중,권한 거부 시 서비스 종료,
01. 로그인,LOGIN_01,LOGIN_01_SIGN_001,login.html,1. 로그인,,회원가입 정보를 이용한 로그인,필수,,,
,,LOGIN_01_SIGN_002,login.html,2. 로그인 실패,"아이디 or 비밀번호가 틀렸을 때 아이디 or 비밀번호 미입력",아이디 /비밀번호를 확인해달라는 멘트를 동일하게 보여줌,필수,,,
,,LOGIN_01_SNS_001,login.html,2. SNS 로그인,,sns연동을 통한 로그인,하,,https://velog.io/@devmin/kakao-login-basic,
02. 회원가입,LOGIN_01,LOGIN_01_SIGNUP_000,singup.html,1. 회원 가입,,"서비스 이용을 위한 회원가입 아이디, 비밀번호, 닉네임의 항목 + 비밀번호 확인",상,중,항목 조건 잘못될 시 경고문구 바로 보여주기,
03. 메인,MAIN_01,MAIN_01_CHARCTER_001,index.html,1. 캐릭터 노출,캐릭터 노출,"사용자의 운동 진행을 나타내는 캐릭터 노출 사용자의 운동 수준에 따라 level 개념 적용한 캐릭터 사용(상,하체 구분 미실시)",필수,,진행에 비례하여 캐릭터 변화,
,,MAIN_01_SCORE_001,index.html,2. 기록 확인,기록 노출,가장 최근에 진행한 기록을 노출,필수,,데이터베이스를 통해 간단한 노출,
,,MAIN_01_COUPON_001,index.html,3. 쿠폰 수량 노출,친구 근육뺏는 쿠폰수량 노출,따로 연결된 링크 없이 아이콘으로 확인만 실시,필수,,데이터베이스를 통해 간단한 노출,
,,MAIN_01_SETTING_001,index.html,4. 설정 페이지 이동,설정 페이지 이동,설정페이지로 연결되는 아이콘,필수,,설정 페이지로 단순 이동,
04. 알림창,NOTICE_01,NOTICE_01_ATTACK_001,notice.html,1. 근육 빼았김,알림 노출,근육 빼았겼을 때 알림 메세지 노출,중,,"친구가 근육을 뺏었을때 알림 ’00님이 공격하였습니다’",
,,NOTICE_01_WARNING_001,notice.html,2. 운동 안한지 오래됨,알림 노출,운동 안한지 오래 되었을 때 알림 노출,하,,"운동 1주일 미실시한 경우 알림  ’00일동안 운동을 미실시하였습니다’",
05. 운동 이력 확인,RECORD_01,RECORD_01_VIEW_001,view.html,1. 운동 월별 기록 확인,"상체, 하체기록 따로 and 친구의 공격 기록",월별 운동 기록을 확인,상,,"캘린더 적용  (캘린더 불가능시 → 최근 몇개 데이터만 리스트로)",확인필요
06. 친구,FD_01,FD_01_LIST_01,list.html,1. 친구 목록,친구 캐릭터 작게 보여지기 구경하기,친구 리스트 확인,필수,,친구 없을 경우 친구 추가 버튼과 함께 멘트 추가,
,,FD_01_ADD_01,friend_list.html,2. 친구 추가 페이지 이동,페이지 이동,친구 추가 페이지 이동,필수,,클릭 시 friend_add.html 로 이동,
,FD_02,FD_02_ADD_01,friend_add.html,1. 친구 추가,아이디로 친구 추가하기,동료를 아이디로 추가(아이디는 중복 허용x),필수,,"Case에 따라 분기 처리  1. 닉네임이 없는 경우 (팝업 노출)  2. 동일 유저일 경우 (팝업 노출)  3. 닉네임이 있는 경우 (firend_add_detail.html 이동)  4. 이미 등록되어 있는경우 (팝업 노출)",
,,FD_02_NOTICE_01,friend_add.html,2. 팝업 노출,닉네임이 없는 경우 팝업 노출,추가한 닉네임이 없는 경우 ”닉네임이 없습니다” 노출,상,,,
,,FD_02_NOTICE_02,friend_add.html,3. 팝업 노출,사용자와 같은 닉네임의 경우 팝업 노출,사용자와 동일한 닉네임의 경우 ”동일한 유저는 추가 할 수 없습니다” 노출,상,,,
,,FD_02_NOTICE_03,friend_add.html,4. 팝업 노출,이미 등록이 되어 있는 경우 팝업 노출,이미 등록이 되어 있는 경우 ”이미 등록 되어있습니다” 노출,상,,,
,,FD_02_DETAIL_04,friend_add.html,5. 검색 유저 확인,,검색한 유저가 맞는지 확인,상,,"1. 선택 후 추가 Button 클릭 시 데이터 베이스 추가  2. index.html 로 이동",
07. 타 사용자 상세,USER_01,USER_01_USER_01,user_detail.html,3. 동료 상세 확인,,"친구 캐릭터, 친구 기록, 공격하기  (메인에서 쿠폰빠지고 공격하기 추가)",필수,,,
,,USER_01_FOLLOW_01,user_detail.html,3. 친구 추가 및 삭제,추가 및 삭제,친구 추가 및 삭제,필수,,친구 삭제→ 친구목록페이지로 이동(친구가 사라짐),
,,USER_01_ATTACK_01,user_detail.html,4. 친구 근육 뺏기,공격,공격완료되었음을 알려주는 창 뜨기,필수,,,
08. 랭킹보기,RANK_01,RANK_01_USER_01,list.html,1. 전체 이용자 보기,,전체 이용자를 레벨에 따라 정렬해서 보여줌,하,,선택 시 user_detail.html 이동,
09.운동하기,TR_01,TR_01_SELECT_001,,1. 운동 선택,운동 선택,운동을 하기 전 진행할 운동 종류 선택,필수,,상체운동/ 하체 운동 버튼,
,,TR_01_SELECT_002,,2. 목표 목표,목표 목표 선택,운동을 하기 전 진행할 목표치 설정,필수,,"max 값 안쪽으로 - 자동종료  횟수(8~15회)  세트(3~5세트)  휴식(30~90초) → 고정시간 부여 고려  연습하기, 바로 시작 2개 btn 추가",
,,TR_01_TRAIN_00,,3. 연습하기,운동 전 3회 자세연습,운동 시작 전 연습,상,,연습 3회 실시 → 종료 후 정확도 측정으로,
,,TR_01_TRAIN_01,,4. 정확도 측정,,"1. 기준 : 팔, 다리 등의 굽어지는 각도  2. 횟수측정 : 두가지 측정  (1) 목표횟수가 끝날 때까지 전체 카운트  (2) 기준 이상이 되는 올바른 자세만 카운트  ex) 15회 중 7회 성공",필수,,운동 시작 전 준비 시간 부여 1세트 종료 시 종료 알림 완전 종료 시 종료 알림 자동 종료,
,,TR_01_SCORE_001,,5. 정확도 확인 (성공),팝업 노출,,필수,,성공했을 경우,
,,TR_01_SCORE_002,,6. 정확도 확인 (실패),팝업 노출,,필수,,성공하지 못했을 경우,
10. 설정,SET_01,SET_01_RENAME_001,setting.html,1. 닉네임 변경,,페이지 이동,상,중,rename.html로 이동,확인필요
,,SET_01_MAKERS_001,setting.html,1. 닉네임 변경,,페이지 이동,상,중,makers.html로 이동,내용 뭘 넣을지 확인필요
,,SET_01_LOGOUT_001,setting.html,3. 로그아웃,,로그 아웃,상,중,로그아웃 이후 login.html로 이동,확인필요
,,SET_01_RMUSER_001,setting.html,4. 회원탈퇴,,회원 탈퇴,상,중,1. 닉네임 입력 후 버튼 클릭 시 데이터 베이스 변경 2. index.html로 이동,확인필요
,,SET_01_RMUSER_002,rmuser.html,1. 회원탈퇴 여부 재확인,,팝업(시간 없으면) or 페이지(시간 있으면),중,,"간단한 프로젝트 소개 및 인원 소개..? , 기술 스택, 깃 링크) ",확인필요
,RENAME_01,RENAME_01_RENAME_001,exit.html,1. 닉네임 재입력,,기존에 설정 했던 닉네임을 재설정,하,,,
,MAKERS_01,MAKERS_01_MAKERS_001,makers.html,,,"사용언어 및 기술, 팀원정보, git링크 등",중,,,
,,,,1. 튜토리얼 다시보기,,첫 로그인 후 보여줬던 튜토리얼을 다시 보여주기,,,,
11. 튜토리얼,TUTORIAL_01,TUTORIAL_01_TUTORIAL_001,index.html,1. 튜토리얼,풀팝업형식,첫 로그인이 실시되면 튜토리얼을 보여줌,하,,다시보지않기를 클릭하지 않으면 항상 뜸 ,
,,,,,,,,,,
,,,,,,,,,,
버전관리,11.21,1차 완성,,,,,,,,
,11.23,화면설계서에 따른 수정,로그인/회원가입,,,,,,,
,12.02,튜토리얼 기능 추가,로그인 종료 후 ,,,,,,,
,12.05,"Html 이름 변경(list, exit)",,,,,,,,